title,uri,status
LOVE OF MY LIFE CHORDS by Queen @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/queen/love-of-my-life-chords-340088,Downloaded
https://tabs.ultimate-guitar.com/tab/journey/dont-stop-believin-chords-2063241,https://tabs.ultimate-guitar.com/tab/journey/dont-stop-believin-chords-2063241,Downloaded
FAIRYTALE GONE BAD CHORDS (ver 6) by Sunrise Avenue @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/sunrise-avenue/fairytale-gone-bad-chords-890141,Downloaded
HURT CHORDS by Johnny Cash @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/johnny_cash/hurt_chords_89849,Downloaded
FLY ME TO THE MOON CHORDS (ver 2) by Frank Sinatra @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/frank-sinatra/fly-me-to-the-moon-chords-335196,Downloaded
HEY JUDE CHORDS by The Beatles @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/the-beatles/hey-jude-chords-17275,Downloaded
IT HAPPENED QUIET ACOUSTIC LIVE INTERACTIVE TAB by AURORA @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/aurora/it-happened-quiet-guitar-pro-3065045,Downloaded
"KICKAPOO CHORDS (ver 3) by Tenacious D for guitar, ukulele, piano at Ultimate-Guitar",https://tabs.ultimate-guitar.com/tab/tenacious-d/kickapoo-chords-1866031,Downloaded
RING OF FIRE CHORDS by Johnny Cash @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/johnny-cash/ring-of-fire-chords-63352,Downloaded
THE SOUND OF SILENCE CHORDS (ver 2) by Simon & Garfunkel @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/simon-garfunkel/the-sound-of-silence-chords-159157,Downloaded
MAD WORLD CHORDS by Gary Jules & Michael Andrews @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/gary-jules/mad-world-chords-97039,Downloaded
UNINTENDED CHORDS (ver 2) by Muse @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/muse/unintended-chords-8279,Downloaded
DEMONS CHORDS (ver 2) by Imagine Dragons @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/imagine-dragons/demons-chords-1149539,Downloaded
UNINTENDED CHORDS (ver 2) by Muse @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/muse/unintended-chords-8279,Downloaded
DANI CALIFORNIA CHORDS by Red Hot Chili Peppers @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/red-hot-chili-peppers/dani-california-chords-351326,Downloaded
CANT STOP CHORDS by Red Hot Chili Peppers @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/red-hot-chili-peppers/cant-stop-chords-792862,Downloaded
SNOW HEY OH CHORDS by Red Hot Chili Peppers @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/red_hot_chili_peppers/snow_hey_oh_chords_497382,Downloaded
"JAILHOUSE ROCK CHORDS by Elvis Presley for guitar, ukulele, piano at Ultimate-Guitar",https://tabs.ultimate-guitar.com/tab/elvis-presley/jailhouse-rock-chords-79693,Downloaded
